"customerid","firstname","lastname","hasloyalty"
430,"Caron","Pessold",True
431,"Belicia","Fortun",True
432,"Kariotta","Backwell",True
433,"Shayne","Jovovic",True
434,"Leicester","Kavanagh",True
435,"Donnajean","Rodolico",True
436,"Penny","Arman",True
437,"Wren","Macourek",True
438,"Walker","Feathers",True
439,"Waiter","Coon",True
440,"Deirdre","Towll",True
441,"Fred","Whylie",True
442,"Flinn","Albone",True
443,"Juliane","Linwood",True
444,"Otis","Bossingham",True
445,"Annice","Zebedee",True
446,"Maureene","Padgett",True
447,"Clemente","Northeast",True
448,"Karen","Gladdish",True
449,"Darbie","Donnelly",True
450,"Sarita","Ferrettino",True
451,"Palm","Maine",True
452,"Marsiella","Goncalo",True
453,"Coreen","Hanes",True
454,"Tarra","Attwoul",True
455,"Amalee","Kirby",True
456,"Xerxes","Twelve",True
457,"Hunt","Cuesta",True
458,"Griffy","Burwood",True
459,"Bordie","Vanyushkin",True
460,"Rebeca","Cobon",True
461,"Billie","Kleinhaus",True
462,"Tandi","McGeachie",True
463,"Claire","Eisikovitsh",True
464,"Ingemar","McKeon",True
465,"Hall","Epps",True
466,"Chrisse","Boskell",True
467,"Phylys","Roiz",True
468,"Kiele","Sherborne",True
469,"Tracee","Norquoy",True
470,"Arley","Placido",True
471,"Adora","Poulden",True
472,"Chrystal","Langabeer",True
473,"Melita","Ledgard",True
474,"Marya","Mont",True
475,"Anthia","Hallagan",True
476,"Norrie","Jumeau",True
477,"Mozes","Monro",True
478,"Kakalina","Dawson",True
479,"Leicester","Oddy",True
480,"Evin","Grinval",True
481,"Pammi","Pollington",True
482,"Vivien","Amber",True
483,"Fee","Gallant",True
484,"Selinda","Jeyes",True
485,"Bondy","Getsham",True
486,"Faber","McCrostie",True
487,"Kele","Feldklein",True
488,"Mordecai","Orteaux",True
489,"Wendy","Ridgedell",True
490,"Dimitri","Goneau",True
491,"Lenard","Pumfrett",True
492,"Sanderson","Huggon",True
493,"Matty","Featherby",True
494,"Mellisent","Mulqueen",True
495,"Osgood","Ebenezer",True
496,"Traver","Breward",True
497,"Elijah","Pratley",True
498,"Sallie","Iacomi",True
499,"Roxane","Corbett",True
500,"Marlena","Lago",True
